age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
27, Private, HS-grad,9, Married-AF-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, HS-grad,9, Married-AF-spouse, Craft-repair, Husband, White, Male,0,0,90, United-States, <=50K
29, Private, HS-grad,9, Married-AF-spouse, Transport-moving, Husband, White, Male,0,0,80, United-States, <=50K
26, Private, HS-grad,9, Married-AF-spouse, Sales, Husband, White, Male,0,0,55, United-States, <=50K
30, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad,9, Married-AF-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
43, Private, HS-grad,9, Married-AF-spouse, Craft-repair, Wife, Black, Female,0,0,42, United-States, >50K
32, Private, HS-grad,9, Married-AF-spouse, Other-service, Other-relative, White, Female,0,0,10, United-States, <=50K
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
38, Private, HS-grad,9, Married-AF-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
30, State-gov, HS-grad,9, Married-AF-spouse, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
19, Federal-gov, HS-grad,9, Married-AF-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, Assoc-voc,11, Married-AF-spouse, Farming-fishing, Husband, White, Male,0,0,44, United-States, >50K
40, Self-emp-not-inc, Bachelors,13, Married-AF-spouse, Prof-specialty, Husband, White, Male,7298,0,50, United-States, >50K
29, Federal-gov, Bachelors,13, Married-AF-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
24, Private, Bachelors,13, Married-AF-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
30, Private, Bachelors,13, Married-AF-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
35, Private, Assoc-acdm,12, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college,10, Married-AF-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Some-college,10, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
22, Private, Some-college,10, Married-AF-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
48, Private, 9th,5, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
49, Local-gov, 9th,5, Widowed, Handlers-cleaners, Unmarried, White, Male,0,2231,40, United-States, >50K
57, Private, 9th,5, Widowed, Other-service, Unmarried, Black, Male,0,0,52, ?, <=50K
74, Private, 9th,5, Widowed, Craft-repair, Not-in-family, White, Male,0,0,10, ?, <=50K
61, Private, 9th,5, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,65, United-States, <=50K
71, Private, 9th,5, Widowed, Sales, Unmarried, White, Female,0,0,13, United-States, <=50K
73, Private, 9th,5, Widowed, Other-service, Unmarried, White, Female,0,0,9, United-States, <=50K
81, Private, 9th,5, Widowed, Priv-house-serv, Not-in-family, Black, Female,2062,0,5, United-States, <=50K
72, Private, 9th,5, Widowed, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
63, Private, 9th,5, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
65, Private, 9th,5, Widowed, Priv-house-serv, Unmarried, Black, Female,0,0,24, United-States, <=50K
53, Private, 9th,5, Widowed, Sales, Unmarried, Black, Female,0,0,25, United-States, <=50K
62, Private, 9th,5, Widowed, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
52, Private, 9th,5, Widowed, Other-service, Not-in-family, White, Female,0,0,25, Puerto-Rico, <=50K
56, Private, 9th,5, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Private, 9th,5, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, 9th,5, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private, 9th,5, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Private, 9th,5, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private, 10th,6, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,52, United-States, <=50K
61, Private, 10th,6, Widowed, Farming-fishing, Unmarried, White, Male,0,0,20, United-States, <=50K
68, Self-emp-not-inc, 10th,6, Widowed, Farming-fishing, Unmarried, White, Male,0,0,20, United-States, <=50K
42, Self-emp-not-inc, 10th,6, Widowed, Transport-moving, Unmarried, White, Male,0,0,35, United-States, <=50K
38, Private, 10th,6, Widowed, Transport-moving, Unmarried, Black, Male,114,0,40, United-States, <=50K
55, Self-emp-inc, 10th,6, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
